D_Fibra,RED,F_H,Velocidad,Temperatura,D_Jeringa,Caudal,Distancia,Voltaje,Concentracion,Tipo
130,0.773067355,0.161649497,63.66197724,300.15,0.1,0.5,15,11,4,0
140,0.773067355,0.161649497,63.66197724,300.15,0.1,0.5,15,11,5,0
205,0.773067355,0.161649497,63.66197724,300.15,0.1,0.5,15,11,6,0
85,0.905995807,0.284814833,48.95192406,299.15,0.051,0.1,20,20,8,1
98,0.905995807,0.284814833,97.90384811,299.15,0.051,0.2,20,20,8,1
130,0.905995807,0.284814833,146.8557722,299.15,0.051,0.3,20,20,8,1
180,0.905995807,0.284814833,195.8076962,299.15,0.051,0.4,20,20,8,1
198,0.905995807,0.284814833,244.7596203,299.15,0.051,0.5,20,20,8,1
137,0.630002088,0.408504743,144.358225,299.15,0.084,0.8,20,20,9,2
152,0.630002088,0.408504743,144.358225,299.15,0.084,0.8,20,20,9,2
237,0.630002088,0.408504743,144.358225,299.15,0.084,0.8,20,20,9,2
257,0.630002088,0.408504743,144.358225,299.15,0.084,0.8,20,20,9,2
280,0.630002088,0.408504743,144.358225,299.15,0.084,0.8,20,20,9,2
57,0.905995807,0.284814833,244.7596203,299.15,0.051,0.5,20,20,8,1
72,0.905995807,0.284814833,244.7596203,299.15,0.051,0.5,20,20,8,1
76,0.905995807,0.284814833,244.7596203,299.15,0.051,0.5,20,20,8,1
70,0.630002088,0.408504743,108.2686688,299.15,0.084,0.6,20,20,9,2
100,0.630002088,0.408504743,144.358225,299.15,0.084,0.8,20,20,9,2
120,0.630002088,0.408504743,180.4477813,299.15,0.084,1,20,20,9,2
415,0.241598878,0.007418949,597.172778,299.15,0.0413,0.8,18,11.5,10,0
625,0.570898454,0.040252252,597.172778,299.15,0.0413,0.8,18,11.5,10,0
521,0.763535407,0.08104889,597.172778,299.15,0.0413,0.8,18,11.5,10,0
7670,0.355476633,0.098377615,1403.018782,298.65,0.033,1.2,10,12,20,0
5220,0.355476633,0.098377615,1403.018782,298.65,0.033,1.2,10,15,20,0
5720,0.355476633,0.098377615,1403.018782,298.65,0.033,1.2,10,18,20,0
1264,0.460775487,0.191418439,1403.018782,298.65,0.033,1.2,10,12,20,0
1602,0.460775487,0.191418439,1403.018782,298.65,0.033,1.2,10,15,20,0
2182,0.460775487,0.191418439,1403.018782,298.65,0.033,1.2,10,18,20,0
4460,0.637207233,0.399216282,1403.018782,298.65,0.033,1.2,10,12,20,0
3450,0.637207233,0.399216282,1403.018782,298.65,0.033,1.2,10,15,20,0
2940,0.637207233,0.399216282,1403.018782,298.65,0.033,1.2,10,18,20,0
1730,0.505833736,0.25468945,1403.018782,298.65,0.033,1.2,10,12,20,0
1980,0.505833736,0.25468945,1403.018782,298.65,0.033,1.2,10,15,20,0
2080,0.505833736,0.25468945,1403.018782,298.65,0.033,1.2,10,18,20,0
5925,0.602474237,0.435598633,701.509391,298.65,0.033,0.6,10,10,20,0
6896,0.602474237,0.435598633,701.509391,298.65,0.033,0.6,10,14,20,0
7284,0.602474237,0.435598633,701.509391,298.65,0.033,0.6,10,18,20,0
706,0.634868373,0.378121548,701.509391,298.65,0.033,0.6,14,15,20,0
1680,0.254586036,0.057307563,1403.018782,298.65,0.033,1.2,10,12,20,0
